Name,Class,SubClass,Faction,Role,ThreatRating,TankDoctrine,OptimalRange,HighSlots,MidSlots,LowSlots,RigSlots,Turrets,Launchers,Powergrid_MW,CPU_tf,BaseSpeed_ms,SigRadius_m,DroneBay_m3,DroneBandwidth_Mbit,HullBonuses
Tengu,Strategic Cruiser,Strategic Cruiser,Caldari,Modular T3C (Missile / Rail / Cloak),THREAT_T2_COMBAT,Shield Buffer / Active,30-90 km,6,6,6,3,5,5,1200,460,235,115,60,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Thalia,Logistics Frigate,Logistics Cruiser,Gallente,T2 Armor Logistics Frigate,THREAT_LOGI,Armor,Remote Armor,5,5,4,2,0,0,1050,440,240,110,25,25,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Thanatos,Carrier,Carrier,Gallente,Capital Fighter Carrier,THREAT_CAPITAL,Armor Buffer,Fighter Range,5,6,6,3,0,0,550000,1100,70,9800,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Thorax,Cruiser,Cruiser,Gallente,Blaster / Rail Fleet Cruiser,THREAT_COMBATANT,Armor / Shield Buffer,0-15 km,5,4,5,3,4,4,950,360,220,130,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus
Thrasher,Destroyer,Destroyer,Minmatar,Autocannon / Artillery High Alpha,THREAT_COMBATANT,Shield / Armor Buffer,0-15 km AC / 40-70 km Art,8,2,3,3,7,7,72,200,310,65,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Thrasher Navy Issue,Faction Destroyer,Destroyer,Minmatar (Fleet),Navy Projectile Brawler,THREAT_COMBATANT,Armor / Shield Buffer,0-20 km,8,2,3,3,7,7,72,200,310,65,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Thunderchild,Battleship,Battleship,EDENCOM,Heavy Vortron Battleship,THREAT_COMBATANT,Shield Buffer,30-70 km,8,6,7,3,7,7,16500,650,115,420,125,100,
Tormentor,Frigate,Combat Frigate,Amarr,Laser / Drone Brawler,THREAT_COMBATANT,Armor Buffer / Active,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Tornado,Attack Battlecruiser,Attack Battlecruiser,Minmatar,Battleship-Gun 1400mm Artillery Sniper,THREAT_COMBATANT,Paper Thin Shield,80-150 km,8,5,5,3,8,8,9500,410,200,310,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Tristan,Frigate,Combat Frigate,Gallente,Drone Kiter / Brawler,THREAT_COMBATANT,Armor / Shield / Hull,0-30 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Typhoon,Battleship,Battleship,Minmatar,Cruise / Torpedo / Cruise BS,THREAT_COMBATANT,Armor / Shield Buffer / Active,30-100 km,8,6,7,3,7,7,16500,650,115,420,125,100,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Typhoon Fleet Issue,Faction Battleship,Battleship,Minmatar (Fleet),Navy Missile / Cruise Battleship,THREAT_COMBATANT,Armor / Shield Buffer,40-120 km,8,6,7,3,7,7,16500,650,115,420,125,100,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus"
Vagabond,Heavy Assault Cruiser,Heavy Assault Cruiser,Minmatar,HAC Active Shield Nano Kiter,THREAT_T2_COMBAT,Active Shield (Dual XL-ASB) + ADC,15-35 km,5,4,6,2,5,5,1150,410,230,125,50,50,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Valravn,Lancer Dreadnought,Dreadnought,Minmatar,Disruptive Lancer Dread,THREAT_CAPITAL,Shield Active,Lancer Beam,6,5,7,3,3,3,650000,950,75,8500,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Vanquisher,Titan,Titan,Serpentis,Serpentis Supercapital,THREAT_SUPER,Armor Buffer,Omni Grid,8,7,8,3,6,6,4500000,2500,50,35000,0,0,Role Bonus: 90% Stasis Webifier velocity reduction strength
Vargur,Marauder,Marauder,Minmatar,Bastion Autocannon / Artillery Marauder,THREAT_MARAUDER,Active Shield (Dual XL-ASB in Bastion),25-60 km (AC) / 100-180 km (Artillery),8,6,7,2,4,4,19500,720,120,440,125,100,"Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: Bastion Module capability (100% weapon range, 100% local rep, EWAR immunity)"
Vedmak,Cruiser,Cruiser,Triglavian,Spooling Disintegrator Cruiser,THREAT_PIRATE,Armor,10-35 km,5,4,5,3,4,4,950,360,220,130,50,50,
Vehement,Dreadnought,Dreadnought,Serpentis,Pirate Blaster / Web Dread,THREAT_CAPITAL,Armor Active,0-30 km,6,5,7,3,3,3,650000,950,75,8500,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength
Vengeance,Assault Frigate,Assault Frigate,Amarr,Rocket / Active Armor Assault,THREAT_T2_COMBAT,Active Armor + ADC,0-20 km,4,3,4,2,3,3,58,175,380,35,0,0,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Venture,Mining Frigate,Combat Frigate,ORE,Gas / Ore / +2 Warp Core Miner,THREAT_MINING,Shield Buffer,0-15 km,3,3,3,3,3,3,45,150,360,38,0,0,
Vexor,Cruiser,Cruiser,Gallente,Heavy Drone / Armor Cruiser,THREAT_COMBATANT,Armor Buffer / Active / Hull,0-50 km,5,4,5,3,4,4,950,360,220,130,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Vexor Navy Issue,Faction Cruiser,Cruiser,Gallente (Navy),Heavy Drone / Hybrid Combat Cruiser,THREAT_COMBATANT,Armor Buffer / Shield,0-50 km,5,4,5,3,4,4,950,360,220,130,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)
Viator,Blockade Runner,Combat Frigate,Gallente,Covert Fast Hauler,THREAT_HAULER,Cloaked Armor,0 km,3,3,3,3,3,3,45,150,360,38,0,0,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay
Vigil,Frigate,Combat Frigate,Minmatar,Target Painter Frigate,THREAT_ECM,Paper Thin,40-80 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Vigil Navy Issue,Faction Frigate,Combat Frigate,Minmatar (Fleet),Dual Web Rocket Brawler,THREAT_COMBATANT,Shield Buffer,0-20 km,3,3,3,3,3,3,45,150,360,38,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength
Vigilant,Cruiser,Cruiser,Serpentis,90% Web Blaster Cruiser,THREAT_PIRATE,Armor,0-15 km,5,4,5,3,4,4,950,360,220,130,50,50,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength
Vindicator,Battleship,Battleship,Serpentis,90% Web Blaster Battleship,THREAT_PIRATE,Armor,0-20 km,8,6,7,3,7,7,16500,650,115,420,125,100,Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus | Role Bonus: 90% Stasis Webifier velocity reduction strength
Vulture,Command Ship,Command Ship,Caldari,Shield Fleet Command / Rail Sniper,THREAT_T2_COMBAT,Immense Shield Buffer,60-140 km,7,5,6,2,5,5,1600,510,165,240,75,50,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Hybrid Turret damage and tracking speed bonus per level | Armor repairer effectiveness or Armor HP bonus"
Widow,Black Ops,Black Ops,Caldari,Covert Jump / ECM Battleship,THREAT_CYNO,Shield Buffer / Active,40-90 km,8,6,7,2,6,6,17500,700,140,380,125,100,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Covert Ops Cloaking Device fitting & zero cloak reactivation delay"
Wolf,Assault Frigate,Assault Frigate,Minmatar,Autocannon / Artillery Assault,THREAT_T2_COMBAT,Armor Buffer / SAAR + ADC,0-15 km (AC) / 25-50 km (Art),4,3,4,2,3,3,58,175,380,35,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Worm,Frigate,Combat Frigate,Guristas,Heavy Drone / Missile Frigate,THREAT_PIRATE,Shield Buffer / Passive (300% Drone Bonus),0-40 km,3,3,3,3,3,3,45,150,360,38,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus | Role Bonus: Extreme Drone HP and Damage output multiplier (up to 500%)"
Wreathe,Industrial,Industrial,Minmatar,Fast Industrial Hauler,THREAT_HAULER,Paper Thin,0 km,2,4,4,3,0,0,95,250,130,240,0,0,Projectile Turret rate of fire and falloff bonus per level | Sub-warp velocity and signature radius mobility bonus
Wyvern,Supercarrier,Supercarrier,Caldari,Supercapital Heavy Carrier,THREAT_SUPER,Shield Buffer,Omni Grid,6,7,7,3,0,0,1200000,1800,60,18000,0,0,"Missile kinetic/thermal velocity, flight time and explosion radius bonus | Shield resistance or shield capacity bonus"
Zarmazd,Logistics Cruiser,Logistics Cruiser,Triglavian,T2 Spooling Remote Armor,THREAT_LOGI,Armor,Remote Rep Range,5,5,4,2,0,0,1050,440,240,110,25,25,
Zealot,Heavy Assault Cruiser,Heavy Assault Cruiser,Amarr,HAC Beam Laser Sniper,THREAT_T2_COMBAT,Armor Buffer + ADC,40-90 km,5,4,6,2,5,5,1150,410,230,125,50,50,Energy Turret Damage & Optimal Range bonus per level | Capacitor usage reduction for Energy Weapons
Zirnitra,Dreadnought,Dreadnought,Triglavian,Capital Disintegrator Siege,THREAT_CAPITAL,Armor Active,Capital Grid,6,5,7,3,3,3,650000,950,75,8500,0,0,
